id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi_times,roi_currency,roi_percentage
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,472.0,8913899052,23,9893532549.0,2391859801.0,480.0,429.0,41.0,9.0,772659228.0,9.0,18920631.0,21000000.0,21000000.0,3786.0,-88.0,2017-12-20T00:00:00.000Z,77.0,512.0,2018-12-16T00:00:00.000Z,,2021-12-07T10:44:37.559Z,0.0,9.0,,,
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,https://assets.coingecko.com/coins/images/13120/large/Logo_final-21.png?1624892810,108.0,2021695829,78,,714.0,116.0,98.0,-6.0,-5.0,-114934195.0,-5.0,18794058.0,21000000.0,,378.0,-72.0,2021-09-04T17:15:31.514Z,9.0,1068.0,2020-11-15T18:28:32.658Z,,2021-12-07T10:35:49.005Z,0.0,-5.0,,,
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,150.0,2837685835,62,,751918813.0,154.0,114.0,36.0,31.0,671198677.0,31.0,18917252.0,21000000.0,,490.0,-69.0,2021-04-16T17:09:04.630Z,42.0,257.0,2018-11-23T00:00:00.000Z,,2021-12-07T10:45:42.960Z,0.0,31.0,,,
bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.0,3644156457,49,,3643059827.0,0.0,0.0,0.0,65.0,1437714248.0,65.0,932497500000.0,990000000000.0,,0.0,-71.0,2021-04-05T04:09:06.433Z,0.0,2724.0,2020-03-13T02:22:57.629Z,,2021-12-07T10:44:30.930Z,1.0,65.0,31.559355680958593,usd,3155.9355680958593
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,2.0,2523095674,68,,67290339.0,2.0,2.0,0.0,19.0,379248326.0,18.0,1052561462.0,1818000000.0,,3.0,-29.0,2021-12-01T01:32:34.725Z,0.0,5157.0,2020-03-13T02:29:26.415Z,,2021-12-07T10:45:33.992Z,0.0,19.0,19.089226382583416,usd,1908.9226382583417
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.0,46996558125,6,65952078532.0,2342262691.0,1.0,1.0,0.0,15.0,6089822495.0,15.0,32066390668.0,45000000000.0,45000000000.0,3.0,-52.0,2021-09-02T06:00:10.474Z,0.0,7523.0,2020-03-13T02:22:55.044Z,,2021-12-07T10:45:56.707Z,1.0,15.0,,,
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.0,4662643030,42,,25892893.0,0.0,0.0,0.0,0.0,-14765458.0,0.0,214308752205.0,214320646732.62,,0.0,-31.0,2020-10-12T21:29:00.007Z,0.0,199.0,2020-03-18T04:29:40.819Z,,2021-12-07T10:45:15.706Z,0.0,0.0,,,
celo,celo,Celo,https://assets.coingecko.com/coins/images/11090/large/icon-celo-CELO-color-500.png?1592293590,4.0,1407962263,91,3834272951.0,47270086.0,4.0,3.0,0.0,11.0,144658510.0,11.0,367204495.0,1000000000.0,1000000000.0,10.0,-61.0,2021-08-30T14:25:09.929Z,1.0,379.0,2020-05-22T04:15:27.736Z,,2021-12-07T10:45:40.026Z,0.0,11.0,,,
celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,4.0,1576868222,86,,3052627.0,4.0,4.0,0.0,0.0,12430771.0,1.0,423415980.0,695090076.6871,,8.0,-54.0,2021-06-04T00:04:12.584Z,0.0,14113.0,2018-12-07T00:00:00.000Z,,2021-12-07T10:45:01.309Z,0.0,0.0,11.422484603085856,usd,1142.2484603085857
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,20.0,9348749384,20,20018325761.0,1084782523.0,20.0,17.0,2.0,14.0,1148946159.0,14.0,467009554.0,1000000000.0,1000000000.0,53.0,-62.0,2021-05-10T00:13:57.214Z,0.0,13409.0,2017-11-29T00:00:00.000Z,,2021-12-07T10:45:33.946Z,0.0,14.0,,,
chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.0,1802352856,83,2997889347.0,294832516.0,0.0,0.0,0.0,18.0,270525572.0,18.0,5344064580.0,8888888888.0,8888888888.0,1.0,-62.0,2021-03-13T08:04:21.200Z,0.0,8108.0,2019-09-28T00:00:00.000Z,,2021-12-07T10:45:06.105Z,0.0,18.0,14.357586076525036,usd,1435.7586076525035
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,88.0,6929182096,30,,26535274.0,89.0,79.0,9.0,11.0,726204893.0,12.0,78662767.0,78649599.0089557,,98.0,-10.0,2021-11-21T12:39:57.508Z,2.0,4570.0,2020-03-13T02:22:33.711Z,,2021-12-07T10:43:50.846Z,0.0,11.0,,,
compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,228.0,1413785314,90,2278663755.0,90312883.0,229.0,194.0,32.0,16.0,190317197.0,16.0,6204449.0,10000000.0,10000000.0,911.0,-75.0,2021-05-12T02:29:08.794Z,61.0,272.0,2020-06-18T12:54:32.788Z,,2021-12-07T10:45:09.775Z,0.0,16.0,,,
